terms,abbreviations,te,tep,tet,tetp
baseline,baseline,3613,100,199,100
social justice OR social action,sj,122,3.38,0,0
culturally relevant education OR multicultural education,culture,175,4.84,1,0.5
ethnic diversity,ethnic,11,0.3,0,0
individual differences,differences,7,0.19,0,0
urban schools OR urban education OR urban teaching,urban,191,5.29,0,0
social change,change,9,0.25,0,0
place based education,place,11,0.3,0,0
community relations OR school community relationship OR family school relationship,community,39,1.08,1,0.5
media literacy OR multiple literacies OR popular culture,media,15,0.42,3,1.51